Wall time,Step,Value
1653543843.720615,30100,7409.91015625
1653544332.5264285,30200,7174.16748046875
1653544811.1857798,30300,7090.0693359375
1653545283.3960617,30400,7107.8642578125
1653545767.2373917,30500,7045.45166015625
1653546245.104546,30600,7129.48828125
1653546730.412748,30700,7046.2490234375
1653547073.7214642,30800,7115.9580078125
1653547427.3372726,30900,6954.26708984375
1653547876.1608624,31000,6917.93359375
1653548360.3641725,31100,6999.6357421875
1653548692.1430268,31200,6795.5009765625
1653549062.9699352,31300,6864.03173828125
1653549437.7707527,31400,6733.8818359375
1653549804.384246,31500,6549.74658203125
1653550174.963681,31600,7445.603515625
1653550544.5388072,31700,7195.90234375
1653550926.5838144,31800,6787.63134765625
1653551306.8376977,31900,6970.8359375
1653551699.975301,32000,6768.7744140625
1653552089.280549,32100,6757.8701171875
1653552446.2094197,32200,7124.0595703125
1653552796.2139971,32300,6972.15869140625
1653553170.9800384,32400,7835.8203125
1653553533.7394698,32500,7026.517578125
1653553886.001067,32600,6731.546875
1653554250.9792616,32700,7130.703125
1653554602.6628807,32800,7107.8662109375
1653554963.2594302,32900,6920.0244140625
1653555326.9479222,33000,6823.9287109375
1653555684.918214,33100,6572.4716796875
1653556042.604692,33200,6868.173828125
1653556395.58519,33300,6899.4833984375
1653556765.2120454,33400,6979.2080078125
1653557117.0731254,33500,6283.1298828125
1653557468.558695,33600,6847.64892578125
1653557822.851759,33700,7188.40625
1653558177.4224148,33800,6891.6787109375
1653558517.9237673,33900,7072.45361328125
1653558884.3298678,34000,6757.72998046875
1653559244.5417624,34100,6966.568359375
1653559594.5129235,34200,6820.2373046875
1653559959.1402762,34300,7100.3896484375
1653560321.4187603,34400,7205.8984375
1653560679.480906,34500,6761.2080078125
1653561027.2034676,34600,6640.69287109375
1653561517.021999,34700,7236.5859375
1653561997.6285486,34800,7183.8251953125
1653562468.5291305,34900,7279.53369140625
1653562969.8411822,35000,6487.56005859375
1653563457.9400532,35100,7245.93896484375
1653563940.2595003,35200,6720.1552734375
1653564428.8193567,35300,7417.080078125
1653564813.528241,35400,6784.8173828125
1653565178.6284614,35500,6573.1591796875
1653565530.1659684,35600,7000.416015625
1653565893.132991,35700,7292.91748046875
1653566250.1945674,35800,6853.6953125
1653566659.9958577,35900,6486.8408203125
1653567059.1186512,36000,7125.6953125
1653567454.5407991,36100,6879.47705078125
1653567852.9826946,36200,6603.8359375
1653568235.8432314,36300,6612.369140625
1653568623.6680923,36400,6915.4228515625
1653569031.5965064,36500,6723.521484375
1653569412.0046074,36600,7081.5341796875
1653569807.1266665,36700,6994.4326171875
1653570199.3568313,36800,6517.3837890625
1653570600.9375107,36900,6968.10986328125
1653571004.3663158,37000,6475.7158203125
1653571418.4736836,37100,7196.20947265625
1653571819.388634,37200,6654.8603515625
1653572231.5528271,37300,6897.001953125
1653572698.7026844,37400,7379.60302734375
1653573175.0970485,37500,7099.97216796875
1653573588.1452785,37600,6950.98095703125
1653573961.3089828,37700,6986.44287109375
1653574328.2639217,37800,6664.2861328125
1653574798.0891988,37900,7255.484375
1653575289.9427047,38000,6982.0517578125
1653575784.3036633,38100,7367.00244140625
1653576289.8316863,38200,6699.6728515625
1653576760.272382,38300,6756.654296875
1653577239.2408855,38400,6588.4150390625
1653577713.461819,38500,6300.6181640625
1653578113.6433058,38600,6932.6435546875
1653578463.789402,38700,6587.92578125
1653578833.7257462,38800,6709.046875
1653579304.579744,38900,6638.703125
1653579783.4119947,39000,6807.2041015625
1653580264.9497526,39100,6618.8681640625
1653580737.4415863,39200,6355.1611328125
1653581222.305517,39300,7369.650390625
1653581712.6226482,39400,6680.4013671875
1653582190.0185344,39500,6601.00341796875
1653582678.7027707,39600,7096.8154296875
1653583171.2108424,39700,6711.2744140625
1653583658.5375648,39800,6647.19384765625
1653584130.3966005,39900,6280.34765625
1653584622.9405088,40000,6518.416015625
1653585103.0742004,40100,6783.2314453125
1653585595.5179996,40200,6398.1953125
1653586077.2925608,40300,6447.1796875
1653586444.5409431,40400,6798.3056640625
1653586807.9735293,40500,7107.48046875
1653587181.929652,40600,6838.5341796875
1653587543.0741148,40700,7220.6875
1653587894.6390996,40800,7241.2431640625
1653588259.8076394,40900,6531.3046875
1653588618.1086714,41000,6868.9482421875
1653588992.6905532,41100,6751.4169921875
1653589352.4155998,41200,7152.4482421875
1653589715.1824257,41300,7292.826171875
1653590075.3356166,41400,6602.1103515625
1653590447.785789,41500,6678.3525390625
1653590808.4244354,41600,7226.2294921875
1653591166.135423,41700,6616.5673828125
1653591530.9775498,41800,6250.2138671875
1653591900.2158358,41900,6981.3876953125
1653592262.8623884,42000,6957.04833984375
1653592652.0168018,42100,6443.9228515625
1653593001.3590271,42200,7296.04296875
1653593377.2856278,42300,6639.70947265625
1653593732.16118,42400,7009.47509765625
1653594100.7346802,42500,7114.8056640625
1653594462.4749222,42600,6943.23681640625
1653594816.707605,42700,6962.83544921875
1653595169.2150333,42800,6937.7119140625
1653595522.1637154,42900,6759.6083984375
1653595882.0945265,43000,6558.79296875
1653596252.9884818,43100,6932.3916015625
1653596611.090022,43200,6869.16943359375
1653596966.3622842,43300,6320.03271484375
1653597332.2926452,43400,6795.548828125
1653597682.1861918,43500,6852.68994140625
1653598050.0341237,43600,6954.7763671875
1653598394.8655005,43700,6765.04248046875
1653598833.3608077,43800,6562.8369140625
1653599320.5343728,43900,6986.98583984375
1653599811.0126605,44000,6536.58837890625
1653600309.287747,44100,6384.78173828125
1653600794.8098307,44200,6653.845703125
1653601280.1814356,44300,6668.6357421875
1653601779.3353558,44400,6626.65380859375
1653602269.0245185,44500,6761.607421875
1653602739.1959057,44600,7034.494140625
1653603227.2864022,44700,6924.4814453125
1653603715.1340675,44800,6559.55810546875
1653604212.1031892,44900,6905.0712890625
1653604686.570089,45000,6336.2197265625
1653605156.758126,45100,6677.57275390625
1653605647.8543403,45200,6538.54052734375
1653606140.0875485,45300,6791.7421875
1653606634.354323,45400,6572.81787109375
1653607129.6101017,45500,6708.4501953125
1653607611.0474885,45600,6543.7880859375
1653608100.2306664,45700,7186.3076171875
1653608588.593583,45800,6515.4912109375
1653609067.133955,45900,6619.58056640625
1653609564.0043077,46000,7122.685546875
1653610047.0222096,46100,6659.32080078125
